DATE,SLEEP SCORE,HOURS OF SLEEP,REM SLEEP,DEEP SLEEP,HEART RATE BELOW RESTING,SLEEP TIME
01/13/2022,90,7.53,24,19,93,11:16pm - 7:35am
01/14/2022,84,7.17,25,17,86,10:59pm - 7:02am
01/15/2022,83,7.23,23,18,68,11:47pm - 8:03am
01/16/2022,87,7.43,19,15,86,10:49pm - 7:40am
01/17/2022,85,8.08,24,15,58,11:22pm - 8:27am
01/18/2022,82,7.2,21,19,72,11:04pm - 7:35am
01/19/2022,88,7.93,17,16,97,10:13pm - 7:02am
01/20/2022,91,8.7,21,14,94,11:35pm - 9:04am
01/21/2022,84,6.47,21,15,96,11:54pm - 7:22am
01/22/2022,85,8.07,22,17,57,10:47pm - 8:01am
01/23/2022,87,8.07,26,23,54,11:50pm - 8:51am
01/24/2022,88,7.75,22,18,95,10:27pm - 7:32am
01/25/2022,86,7.65,20,19,74,10:08pm - 7:02am
01/26/2022,86,7.15,25,16,97,10:41pm - 6:35am
01/27/2022,88,6.87,26,24,96,10:25pm - 6:07am
01/28/2022,91,7.7,20,18,92,10:20pm - 7:05am
01/29/2022,87,7.62,22,20,57,11:49pm - 8:26am
01/30/2022,80,8.45,12,12,71,10:27pm - 8:26am
01/31/2022,82,7.35,16,15,59,11:28pm - 7:50am
03/01/2022,81,6.78,19,15,91,11:32pm - 7:42am
03/02/2022,86,7.6,14,17,97,11:02pm - 7:41am
03/03/2022,83,7.98,20,13,44,11:07pm - 8:01am
03/04/2022,84,8.48,18,13,99,10:42pm - 8:44am
03/05/2022,87,8.5,20,19,72,11:33pm - 9:10am
03/07/2022,86,7.48,20,16,69,11:45pm - 8:29am
03/08/2022,71,5.7,13,0,59,1:40am - 8:14am
03/09/2022,82,8.37,15,16,43,12:22am - 9:47am
03/10/2022,87,7.98,17,19,92,11:01pm - 7:59am
03/11/2022,84,8.22,12,17,84,10:50pm - 8:13am
03/12/2022,84,7.62,18,20,36,12:42am - 9:16am
03/13/2022,87,7.47,23,21,54,11:47pm - 9:11am
03/14/2022,82,7.23,17,17,76,10:47pm - 7:16am
03/15/2022,89,7.55,20,25,87,10:46pm - 7:22am
03/16/2022,89,7.78,25,16,89,10:26pm - 7:10am
03/17/2022,87,8.28,22,14,93,10:32pm - 8:13am
03/18/2022,79,7.2,12,16,80,10:47pm - 6:58am
03/20/2022,87,8.27,27,18,67,11:57pm - 9:14am
03/21/2022,84,8.15,15,15,91,10:36pm - 8:13am
03/22/2022,86,7.12,25,17,97,10:58pm - 7:00am
03/23/2022,85,7.42,20,21,43,10:27pm - 6:46am
03/24/2022,25,7.87,21,18,52,11:42pm - 8:32am
03/25/2022,81,8.17,18,22,10,11:25pm - 8:42am
03/26/2022,87,8.9,21,11,98,10:52pm - 9:12am
03/27/2022,86,7.05,20,15,95,12:04am - 8:02am
